2.499999999999999716e+02,2.500000000000000000e+02,2.500000000000000000e+02,2.500000000000000284e+02
2.032157818028853171e+02,2.085709704788710042e+02,3.027636188477243309e+02,3.063837538945404617e+02
1.566799641617997452e+02,2.263129740207847362e+02,3.138572444359995188e+02,3.538012449460125026e+02
1.039709623257563891e+02,2.869559651247436136e+02,2.921449414902272110e+02,3.960838695933697409e+02
1.694872519883722930e+02,1.924754405836242199e+02,4.255499644544706257e+02,4.352167722968537760e+02
1.780343349353314295e+02,1.826970063625937257e+02,3.624674724573155231e+02,3.647802630455527151e+02
1.148350249487086785e+02,2.480924342738667576e+02,3.336901373157105013e+02,3.996396886330736606e+02
2.036437177047521061e+02,2.090272950724541658e+02,4.916395383401984986e+02,4.938937962599424623e+02
1.145502833816034212e+02,2.475146290930911732e+02,4.045851119750965950e+02,4.602508414160546408e+02
2.499999999999999432e+02,2.500000000000000284e+02,5.590169943749473305e+02,5.590169943749474442e+02
