RESULTS,s5,"'b1', 'b2', 'b3'",actual,(-160 144),computed,(12 -6490953637994873),6490953637995017
RESULTS,s5,"'b1', 'b2', 'b4'",actual,(-160 144),computed,(0 152),160
RESULTS,s5,"'b1', 'b3', 'b4'",actual,(-160 144),computed,(250 439),505
RESULTS,s5,"'b2', 'b3', 'b4'",actual,(-160 144),computed,(12 -6490953637994946),6490953637995090
RESULTS,s5,"'b1', 'b2', 'b3', 'b4'",actual,(-160 144),computed,(12 -4844627515038529),4844627515038673
RESULTS,s6,"'b1'",actual,(-104 -94),computed,(-250 0),174
RESULTS,s6,"'b2'",actual,(-104 -94),computed,(0 -250),186
RESULTS,s6,"'b3'",actual,(-104 -94),computed,(249 0),366
RESULTS,s6,"'b4'",actual,(-104 -94),computed,(0 249),360
RESULTS,s6,"'b1', 'b2'",actual,(-104 -94),computed,(-76 -127),42
RESULTS,s6,"'b1', 'b3'",actual,(-104 -94),computed,(-183 -38),97
RESULTS,s6,"'b1', 'b4'",actual,(-104 -94),computed,(0 22),156
RESULTS,s6,"'b2', 'b3'",actual,(-104 -94),computed,(-132 -32),68
RESULTS,s6,"'b2', 'b4'",actual,(-104 -94),computed,(0 -14),131
RESULTS,s6,"'b3', 'b4'",actual,(-104 -94),computed,(0 108),228
RESULTS,s6,"'b1', 'b2', 'b3'",actual,(-104 -94),computed,(-132 -50),52
RESULTS,s6,"'b1', 'b2', 'b4'",actual,(-104 -94),computed,(0 -71),106
RESULTS,s6,"'b1', 'b3', 'b4'",actual,(-104 -94),computed,(0 8),147
RESULTS,s6,"'b2', 'b3', 'b4'",actual,(-104 -94),computed,(0 -15),131
RESULTS,s6,"'b1', 'b2', 'b3', 'b4'",actual,(-104 -94),computed,(0 -57),110
RESULTS,s7,"'b1'",actual,(-49 -146),computed,(-250 0),248
RESULTS,s7,"'b2'",actual,(-49 -146),computed,(0 -249),114
RESULTS,s7,"'b3'",actual,(-49 -146),computed,(250 0),333
RESULTS,s7,"'b4'",actual,(-49 -146),computed,(0 249),399
RESULTS,s7,"'b1', 'b2'",actual,(-49 -146),computed,(-23 -202),61
RESULTS,s7,"'b1', 'b3'",actual,(-49 -146),computed,(-190 -47),172
RESULTS,s7,"'b1', 'b4'",actual,(-49 -146),computed,(0 -1),153
RESULTS,s7,"'b2', 'b3'",actual,(-49 -146),computed,(-97 -39),117
RESULTS,s7,"'b2', 'b4'",actual,(-49 -146),computed,(0 -14),140
RESULTS,s7,"'b3', 'b4'",actual,(-49 -146),computed,(0 105),256
RESULTS,s7,"'b1', 'b2', 'b3'",actual,(-49 -146),computed,(-96 -73),86
RESULTS,s7,"'b1', 'b2', 'b4'",actual,(-49 -146),computed,(0 -87),77
RESULTS,s7,"'b1', 'b3', 'b4'",actual,(-49 -146),computed,(0 -8),146
RESULTS,s7,"'b2', 'b3', 'b4'",actual,(-49 -146),computed,(0 -17),138
RESULTS,s7,"'b1', 'b2', 'b3', 'b4'",actual,(-49 -146),computed,(0 -70),90
RESULTS,s8,"'b1'",actual,(-198 -202),computed,(-249 0),209
RESULTS,s8,"'b2'",actual,(-198 -202),computed,(0 -250),203
RESULTS,s8,"'b3'",actual,(-198 -202),computed,(249 0),491
RESULTS,s8,"'b4'",actual,(-198 -202),computed,(0 250),493
RESULTS,s8,"'b1', 'b2'",actual,(-198 -202),computed,(-236 -149),65
RESULTS,s8,"'b1', 'b3'",actual,(-198 -202),computed,(249 -2079),1929
RESULTS,s8,"'b1', 'b4'",actual,(-198 -202),computed,(0 -953),776
RESULTS,s8,"'b2', 'b3'",actual,(-198 -202),computed,(249 -161),449
RESULTS,s8,"'b2', 'b4'",actual,(-198 -202),computed,(0 -14),272
RESULTS,s8,"'b3', 'b4'",actual,(-198 -202),computed,(23 -19723719025598072),19723719025597868
RESULTS,s8,"'b1', 'b2', 'b3'",actual,(-198 -202),computed,(249 -1481),1355
RESULTS,s8,"'b1', 'b2', 'b4'",actual,(-198 -202),computed,(0 -709),544
RESULTS,s8,"'b1', 'b3', 'b4'",actual,(-198 -202),computed,(24 -12778747537712216),12778747537712014
RESULTS,s8,"'b2', 'b3', 'b4'",actual,(-198 -202),computed,(24 -12778747537711546),12778747537711344
RESULTS,s8,"'b1', 'b2', 'b3', 'b4'",actual,(-198 -202),computed,(24 -9450948699766392),9450948699766190
RESULTS,s9,"'b1'",actual,(-198 -102),computed,(-250 0),114
RESULTS,s9,"'b2'",actual,(-198 -102),computed,(0 -250),247
RESULTS,s9,"'b3'",actual,(-198 -102),computed,(250 0),460
RESULTS,s9,"'b4'",actual,(-198 -102),computed,(0 250),404
RESULTS,s9,"'b1', 'b2'",actual,(-198 -102),computed,(-235 -24),85
RESULTS,s9,"'b1', 'b3'",actual,(-198 -102),computed,(119 -356),407
RESULTS,s9,"'b1', 'b4'",actual,(-198 -102),computed,(0 -145),203
RESULTS,s9,"'b2', 'b3'",actual,(-198 -102),computed,(217 -227),434
RESULTS,s9,"'b2', 'b4'",actual,(-198 -102),computed,(0 -11),218
RESULTS,s9,"'b3', 'b4'",actual,(-198 -102),computed,(0 152),323
RESULTS,s9,"'b1', 'b2', 'b3'",actual,(-198 -102),computed,(118 -359),408
RESULTS,s9,"'b1', 'b2', 'b4'",actual,(-198 -102),computed,(0 -181),213
RESULTS,s9,"'b1', 'b3', 'b4'",actual,(-198 -102),computed,(0 -73),200
RESULTS,s9,"'b2', 'b3', 'b4'",actual,(-198 -102),computed,(0 14),230
RESULTS,s9,"'b1', 'b2', 'b3', 'b4'",actual,(-198 -102),computed,(0 -118),199
RESULTS,s10,"'b1'",actual,(-249 255),computed,(-249 0),255
