b1,s10,s0_5,0,20,3.3
b1,s10,s0_5,100,120,6.7
b1,s10,s0_1,120,140,19.1
b1,s10,s0_1,140,160,12.1
b1,s10,s0_5,160,180,19.1
b1,s10,s0_5,180,200,12.9
b1,s10,s0_1,20,40,18.5
b1,s10,s0_1,40,60,9.8
b1,s10,s0_1,60,80,16.5
b1,s10,s0_5,80,100,6.3
b1,s1,s0_3,0,20,88.5
b1,s1,s0_3,100,120,90.0
b1,s1,s0_3,120,140,84.5
b1,s1,s0_3,140,160,92.4
b1,s1,s0_3,160,180,89.5
b1,s1,s0_3,180,200,90.0
b1,s1,s0_3,20,40,95.8
b1,s1,s0_3,40,60,95.6
b1,s1,s0_3,60,80,94.6
b1,s1,s0_3,80,100,90.0
b1,s2,s0_3,0,20,74.6
b1,s2,s0_3,100,120,73.9
b1,s2,s0_2,120,140,66.9
b1,s2,s0_3,140,160,74.4
b1,s2,s0_3,160,180,75.5
b1,s2,s0_3,180,200,78.0
b1,s2,s0_3,20,40,74.1
b1,s2,s0_3,40,60,74.0
b1,s2,s0_3,60,80,73.9
b1,s2,s0_3,80,100,78.6
b1,s3,s0_4,0,20,60.9
b1,s3,s0_3,100,120,88.0
b1,s3,s0_3,120,140,64.3
b1,s3,s0_3,140,160,87.1
b1,s3,s0_3,160,180,68.3
b1,s3,s0_3,180,200,90.0
b1,s3,s0_3,20,40,85.7
b1,s3,s0_1,40,60,95.1
b1,s3,s0_3,60,80,82.8
b1,s3,s0_1,80,100,104.3
b1,s4,s0_2,0,20,63.5
b1,s4,s0_2,100,120,55.4
b1,s4,s0_2,120,140,45.0
b1,s4,s0_2,140,160,67.2
b1,s4,s0_2,160,180,60.7
b1,s4,s0_3,180,200,60.8
b1,s4,s0_2,20,40,54.9
b1,s4,s0_2,40,60,65.9
b1,s4,s0_2,60,80,52.4
b1,s4,s0_2,80,100,57.8
b1,s5,s0_5,0,20,55.6
b1,s5,s0_4,100,120,67.0
b1,s5,s0_3,120,140,70.5
b1,s5,s0_2,140,160,112.5
b1,s5,s0_5,160,180,40.8
b1,s5,s0_4,180,200,97.8
b1,s5,s0_2,20,40,22.1
b1,s5,s0_1,40,60,157.5
b1,s5,s0_2,60,80,64.1
b1,s5,s0_2,80,100,74.5
b1,s6,s0_3,0,20,90.8
b1,s6,s0_3,100,120,48.0
b1,s6,s0_4,120,140,112.2
b1,s6,s0_5,140,160,119.4
b1,s6,s0_4,160,180,135.0
b1,s6,s0_3,180,200,90.0
b1,s6,s0_3,20,40,111.8
b1,s6,s0_4,40,60,130.8
b1,s6,s0_4,60,80,116.1
b1,s6,s0_3,80,100,105.4
b1,s7,s0_2,0,20,116.5
b1,s7,s0_3,100,120,112.7
b1,s7,s0_2,120,140,141.7
b1,s7,s0_3,140,160,179.3
b1,s7,s0_3,160,180,68.4
b1,s7,s0_4,180,200,116.5
b1,s7,s0_2,20,40,161.4
b1,s7,s0_3,40,60,101.5
b1,s7,s0_2,60,80,124.4
b1,s7,s0_3,80,100,109.6
b1,s8,s0_4,0,20,46.3
b1,s8,s0_4,100,120,132.1
b1,s8,s0_2,120,140,45.0
b1,s8,s0_2,140,160,85.4
b1,s8,s0_4,160,180,124.6
b1,s8,s0_5,180,200,144.9
